Account Number,Account Name,Account Type,Suggested Report Line,Report Section
"8-70360","EQUIPMENT RENTAL","Expense","MARKETING","EXPENSES"
"8-70460","GRAPHIC DESIGN","Expense","MARKETING","EXPENSES"
"8-70500","INSURANCE","Expense","MARKETING","EXPENSES"
"8-70680","MEALS & ENTERTAINMENT - MKTG","Expense","MARKETING","EXPENSES"
"8-70685","MUSIC & ENTERTAINMENT","Expense","MARKETING","EXPENSES"
"8-70760","PHOTOGRAPHY","Expense","MARKETING","EXPENSES"
"8-70790","POSTAGE/FEDEX/UPS/FREIGHT-MKTG","Expense","MARKETING","EXPENSES"
"8-70800","PRINTING & DUPLICATION","Expense","MARKETING","EXPENSES"
"8-70810","PROMOTIONS","Expense","MARKETING","EXPENSES"
"8-71000","TELEPHONE - MKTG","Expense","MARKETING","EXPENSES"
"8-71060","TRAVEL - MKTG","Expense","MARKETING","EXPENSES"
"8-71070","UNIFORMS - MKTG","Expense","MARKETING","EXPENSES"
"8-71100","WEBSITE FEES","Expense","MARKETING","EXPENSES"
"9-17050","ADMIN-CAPITAL IMPRVMNT","Fixed Asset","ADMIN","UNKNOWN"
"9-60240","WAGES - GENERAL MANAGER","Expense","ADMIN","EXPENSES"
"9-60245","WAGES - ASST MANAGER","Expense","ADMIN","EXPENSES"
"9-60250","WAGES - BOOKKEEPER","Expense","ADMIN","EXPENSES"
"9-60255","WAGES - ADMIN ASST","Expense","ADMIN","EXPENSES"
"9-60260","WAGES - SALES","Expense","ADMIN","EXPENSES"
"9-60265","WAGES - ADMINISTRATIVE","Expense","ADMIN","EXPENSES"
"9-60300","CONTRACT LABOR - ADMIN","Expense","ADMIN","EXPENSES"
"9-60350","BONUSES - ADMIN","Expense","ADMIN","EXPENSES"
"9-60450","PAYROLL TAXES","Expense","ADMIN","EXPENSES"
"9-60500","EMPLOYEE INSURANCE","Expense","ADMIN","EXPENSES"
"9-70000","401K PLAN EXPENSE","Expense","ADMIN","EXPENSES"
"9-70010","ADVERTISING","Expense","ADMIN","EXPENSES"
"9-70070","BAD DEBT","Expense","ADMIN","EXPENSES"
"9-70080","BANK CHARGES","Expense","ADMIN","EXPENSES"
"9-70110","CABLE TV","Expense","ADMIN","EXPENSES"
"9-70170","CLEANING SUPPLIES","Expense","ADMIN","EXPENSES"
"9-70180","CAM / HOA EXPENSE","Expense","ADMIN","EXPENSES"
"9-70190","COMPUTER MAINTENANCE/LEASE","Expense","ADMIN","EXPENSES"
"9-70220","CONTRIBUTIONS","Expense","ADMIN","EXPENSES"
"9-70240","CREDIT CARD FEES","Expense","ADMIN","EXPENSES"
"9-70270","DUE & SUBSCRIPTIONS","Expense","ADMIN","EXPENSES"
"9-70290","ELECTRICITY","Expense","ADMIN","EXPENSES"
"9-70330","EMPLOYEE RECRUITMENT/RELOCATION","Expense","ADMIN","EXPENSES"
"9-70360","EQUIPMENT RENTAL - ADMIN","Expense","ADMIN","EXPENSES"
"9-70390","FICA TAX EXPENSE","Expense","ADMIN","EXPENSES"
"9-70400","FIRE EXTINGUISHERS","Expense","ADMIN","EXPENSES"
"9-70420","FUTA","Expense","ADMIN","EXPENSES"
"9-70440","GAS / OIL / PROPANE - ADMIN","Expense","ADMIN","EXPENSES"
"9-70500","INSURANCE","Expense","ADMIN","EXPENSES"
"9-70510","INTERNET ACCESS","Expense","ADMIN","EXPENSES"
"9-70540","JANITORIAL & PEST CONTROL","Expense","ADMIN","EXPENSES"
"9-70560","LAND / BUILDING RENTAL - ADMIN","Expense","ADMIN","EXPENSES"
"9-70600","LICENSES, TAXES & PERMITS","Expense","ADMIN","EXPENSES"
"9-70680","MEALS & ENTERTAINMENT - ADMIN","Expense","ADMIN","EXPENSES"
"9-70690","OFFICE EQUIP RENTAL / COPIER","Expense","ADMIN","EXPENSES"
"9-70700","OFFICE SUPPLIES","Expense","ADMIN","EXPENSES"
"9-70730","PAYROLL PROCESSING","Expense","ADMIN","EXPENSES"
"9-70750","PHONE SYSTEM","Expense","ADMIN","EXPENSES"
"9-70790","POSTAGE/FEDEX/UPS/FREIGHT","Expense","ADMIN","EXPENSES"
"9-70800","PRINTING & DUPLICATION","Expense","ADMIN","EXPENSES"
"9-70805","PROFESSIONAL FEES","Expense","ADMIN","EXPENSES"
"9-70810","PROMOTIONS","Expense","ADMIN","EXPENSES"
"9-70860","REPAIR & MAINTENANCE - ADMIN","Expense","ADMIN","EXPENSES"
"9-70890","SECURITY","Expense","ADMIN","EXPENSES"
"9-70910","SEMINARS - ADMIN","Expense","ADMIN","EXPENSES"
"9-70920","SERVICE & FINANCE CHARGES","Expense","ADMIN","EXPENSES"
"9-70970","SUI","Expense","ADMIN","EXPENSES"
"9-70980","TAXES","Expense","ADMIN","EXPENSES"
"9-71000","TELEPHONE","Expense","ADMIN","EXPENSES"
"9-71050","TRASH & WASTE REMOVAL - ADMIN","Expense","ADMIN","EXPENSES"
"9-71060","TRAVEL","Expense","ADMIN","EXPENSES"
"9-71070","UNIFORMS","Expense","ADMIN","EXPENSES"
"9-71080","WATER / SEWER","Expense","ADMIN","EXPENSES"
"9-90000","OWNER LEGAL","Expense","ADMIN","EXPENSES"
"9-90010","OWNERS EXPENSE","Expense","ADMIN","EXPENSES"
"0-17500","ACCUMULATED DEPRECIATION","Fixed Asset","DEPRECIATION","UNKNOWN"
"0-75550","DEPRECIATION EXPENSE","Other Expense","DEPRECIATION","UNKNOWN"
"0-21010","ACCRUED INTEREST","Other Current Liability","INTEREST","UNKNOWN"
"0-40820","INTEREST INCOME","Other Income","INTEREST","UNKNOWN"
"0-75040","INTEREST EXPENSE","Other Expense","INTEREST","UNKNOWN"
"0-75060","INTEREST EXPENSE - AUTO","Other Expense","INTEREST","UNKNOWN"
"0-75080","INTEREST EXPENSE - CAP LEASE","Other Expense","INTEREST","UNKNOWN"
"0-75090","INTEREST EXPENSE - MEMBER LOANS","Other Expense","INTEREST","UNKNOWN"
"0-18500","ACCUMULATED AMORTIZATION","Other Asset","AMORTIZATION","UNKNOWN"
"0-75500","AMORTIZATION EXPENSE","Other Expense","AMORTIZATION","UNKNOWN"
