Account Name,Account Type,Account Number,Parent Account
CONTRACT SERVICES,Expense,4-70200,COURSE EXPENSES
DRAINAGE,Expense,4-70265,COURSE EXPENSES
DUES & SUBSCRIPTIONS - MAINT,Expense,4-70270,COURSE EXPENSES
ELECTRICITY - MAINT BUILDING,Expense,4-70300,COURSE EXPENSES
ELECTRICITY - PUMPS/COURSE,Expense,4-70310,COURSE EXPENSES
EQUIPMENT LEASE,Expense,4-70350,COURSE EXPENSES
EQUIPMENT RENTAL,Expense,4-70360,COURSE EXPENSES
FERTILIZER,Expense,4-70380,COURSE EXPENSES
GASOLINE / DIESEL - MAINT,Expense,4-70430,COURSE EXPENSES
HEATING OIL / PROPANE,Expense,4-70480,COURSE EXPENSES
INTERNET,Expense,4-70510,COURSE EXPENSES
LANDSCAPING/TREES/SHRUBS,Expense,4-70570,COURSE EXPENSES
LICENSES/TAXES/PERMITS - MAINT,Expense,4-70600,COURSE EXPENSES
OILS / LUBRICANTS,Expense,4-70720,COURSE EXPENSES
PLAY SUPPLIES,Expense,4-70770,COURSE EXPENSES
PORTABLE TOILETS,Expense,4-70780,COURSE EXPENSES
PRINTING & DUPLICATION,Expense,4-70800,COURSE EXPENSES
REPAIRS & MAINTENANCE - BUILDING,Expense,4-70860,COURSE EXPENSES
REPAIRS & MAINTENANCE - CART PATH,Expense,4-70862,COURSE EXPENSES
REPAIRS & MAINTENANCE - EQUIPMENT,Expense,4-70864,COURSE EXPENSES
REPAIRS & MAINTENANCE - IRRIGATION,Expense,4-70866,COURSE EXPENSES
SAND,Expense,4-70880,COURSE EXPENSES
SEED / SOD,Expense,4-70900,COURSE EXPENSES
SEMINARS / EDUCATION,Expense,4-70910,COURSE EXPENSES
SMALL EQUIPMENT - MAINT,Expense,4-70945,COURSE EXPENSES
SUPPLIES - MAINT,Expense,4-70975,COURSE EXPENSES
TELEPHONE - MAINT,Expense,4-71000,COURSE EXPENSES
TESTING / CONSULTING,Expense,4-71005,COURSE EXPENSES
TOOLS EXPENSE,Expense,4-71010,COURSE EXPENSES
TOP DRESSING,Expense,4-71020,COURSE EXPENSES
TOPSOIL / AGGREGATES,Expense,4-71025,COURSE EXPENSES
TRASH & WASTE REMOVAL - MAINT,Expense,4-71050,COURSE EXPENSES
TRAVEL - MAINT,Expense,4-71060,COURSE EXPENSES
UNIFORMS - MAINT,Expense,4-71070,COURSE EXPENSES
WATER/SEWER - MAINT,Expense,4-71080,COURSE EXPENSES
WEATHER SYSTEM,Expense,4-71090,COURSE EXPENSES
CHEMICALS - PH&O,Expense,5-70150,POOL/HOTEL & OTHER EXPENSES
CLEANING SUPPLIES - PH&O,Expense,5-70170,POOL/HOTEL & OTHER EXPENSES
COMMISSIONS - PH&O,Expense,5-70185,POOL/HOTEL & OTHER EXPENSES
ELECTRICITY,Expense,5-70290,POOL/HOTEL & OTHER EXPENSES
LANDSCAPING/TREES/SHRUBS,Expense,5-70570,POOL/HOTEL & OTHER EXPENSES
LICENSES/TAXES/PERMITS - PH&O,Expense,5-70600,POOL/HOTEL & OTHER EXPENSES
MANAGEMENT FEE - PH&O,Expense,5-70630,POOL/HOTEL & OTHER EXPENSES
REPAIR & MAINTENANCE - PH&O,Expense,5-70860,POOL/HOTEL & OTHER EXPENSES
SUPPLIES,Expense,5-70975,POOL/HOTEL & OTHER EXPENSES
TELEPHONE,Expense,5-71000,POOL/HOTEL & OTHER EXPENSES
WATER/SEWER - PH&O,Expense,5-71080,POOL/HOTEL & OTHER EXPENSES
ELECTRICITY,Expense,6-70290,TENNIS EXPENSES
MANAGEMENT FEE - T,Expense,6-70630,TENNIS EXPENSES
REPAIRS & MAINTENANCE,Expense,6-70860,TENNIS EXPENSES
SUPPLIES,Expense,6-70975,TENNIS EXPENSES
TELEPHONE,Expense,6-71000,TENNIS EXPENSES
UNIFORMS,Expense,6-71070,TENNIS EXPENSES
CLEANING SUPPLIES,Expense,7-70170,BUILDING MAINTENANCE
GAS / OIL / PROPANE,Expense,7-70440,BUILDING MAINTENANCE
ELECTRICITY,Expense,7-70290,BUILDING MAINTENANCE
"LICENSES, TAXES & PERMITS",Expense,7-70600,BUILDING MAINTENANCE
LINEN,Expense,7-70610,BUILDING MAINTENANCE
SEMINARS,Expense,7-70910,BUILDING MAINTENANCE
REPAIR & MAINTENANCE,Expense,7-70860,BUILDING MAINTENANCE
SUPPLIES,Expense,7-70975,BUILDING MAINTENANCE
TELEPHONE,Expense,7-71000,BUILDING MAINTENANCE
TOOLS,Expense,7-71010,BUILDING MAINTENANCE
TRASH & WASTE REMOVAL,Expense,7-71050,BUILDING MAINTENANCE
UNIFORMS,Expense,7-71070,BUILDING MAINTENANCE
WATER / SEWER,Expense,7-71080,BUILDING MAINTENANCE
ADVERTISING - MKTG,Expense,8-70010,MARKETING EXPENSES
COMMISSIONS - MKTG,Expense,8-70185,MARKETING EXPENSES
DECORATIONS,Expense,8-70250,MARKETING EXPENSES
DIRECT MAIL,Expense,8-70260,MARKETING EXPENSES
DUES & SUBSCRIPTIONS,Expense,8-70270,MARKETING EXPENSES
ELECTRONIC TEE TIME SOFTWARE,Expense,8-70320,MARKETING EXPENSES
EQUIPMENT RENTAL,Expense,8-70360,MARKETING EXPENSES
GRAPHIC DESIGN,Expense,8-70460,MARKETING EXPENSES
INSURANCE,Expense,8-70500,MARKETING EXPENSES
MEALS & ENTERTAINMENT - MKTG,Expense,8-70680,MARKETING EXPENSES
MUSIC & ENTERTAINMENT,Expense,8-70685,MARKETING EXPENSES
PHOTOGRAPHY,Expense,8-70760,MARKETING EXPENSES
POSTAGE/FEDEX/UPS/FREIGHT-MKTG,Expense,8-70790,MARKETING EXPENSES
PRINTING & DUPLICATION,Expense,8-70800,MARKETING EXPENSES
PROMOTIONS,Expense,8-70810,MARKETING EXPENSES
TELEPHONE - MKTG,Expense,8-71000,MARKETING EXPENSES
TRAVEL - MKTG,Expense,8-71060,MARKETING EXPENSES
UNIFORMS - MKTG,Expense,8-71070,MARKETING EXPENSES
WEBSITE FEES,Expense,8-71100,MARKETING EXPENSES
401K PLAN EXPENSE,Expense,9-70000,ADMINISTRATIVE EXPENSES
ADVERTISING,Expense,9-70010,ADMINISTRATIVE EXPENSES
BAD DEBT,Expense,9-70070,ADMINISTRATIVE EXPENSES
BANK CHARGES,Expense,9-70080,ADMINISTRATIVE EXPENSES
CABLE TV,Expense,9-70110,ADMINISTRATIVE EXPENSES
CLEANING SUPPLIES,Expense,9-70170,ADMINISTRATIVE EXPENSES
CAM / HOA EXPENSE,Expense,9-70180,ADMINISTRATIVE EXPENSES
COMPUTER MAINTENANCE/LEASE,Expense,9-70190,ADMINISTRATIVE EXPENSES
CONTRIBUTIONS,Expense,9-70220,ADMINISTRATIVE EXPENSES
CREDIT CARD FEES,Expense,9-70240,ADMINISTRATIVE EXPENSES
DUE & SUBSCRIPTIONS,Expense,9-70270,ADMINISTRATIVE EXPENSES
ELECTRICITY,Expense,9-70290,ADMINISTRATIVE EXPENSES
EMPLOYEE RECRUITMENT/RELOCATION,Expense,9-70330,ADMINISTRATIVE EXPENSES
EQUIPMENT RENTAL - ADMIN,Expense,9-70360,ADMINISTRATIVE EXPENSES
FICA TAX EXPENSE,Expense,9-70390,ADMINISTRATIVE EXPENSES
FIRE EXTINGUISHERS,Expense,9-70400,ADMINISTRATIVE EXPENSES
FUTA,Expense,9-70420,ADMINISTRATIVE EXPENSES
GAS / OIL / PROPANE - ADMIN,Expense,9-70440,ADMINISTRATIVE EXPENSES
INSURANCE,Expense,9-70500,ADMINISTRATIVE EXPENSES
INTERNET ACCESS,Expense,9-70510,ADMINISTRATIVE EXPENSES
JANITORIAL & PEST CONTROL,Expense,9-70540,ADMINISTRATIVE EXPENSES
LAND / BUILDING RENTAL - ADMIN,Expense,9-70560,ADMINISTRATIVE EXPENSES
"LICENSES, TAXES & PERMITS",Expense,9-70600,ADMINISTRATIVE EXPENSES
MEALS & ENTERTAINMENT - ADMIN,Expense,9-70680,ADMINISTRATIVE EXPENSES
OFFICE EQUIP RENTAL / COPIER,Expense,9-70690,ADMINISTRATIVE EXPENSES
OFFICE SUPPLIES,Expense,9-70700,ADMINISTRATIVE EXPENSES
PAYROLL PROCESSING,Expense,9-70730,ADMINISTRATIVE EXPENSES
PHONE SYSTEM,Expense,9-70750,ADMINISTRATIVE EXPENSES
POSTAGE/FEDEX/UPS/FREIGHT,Expense,9-70790,ADMINISTRATIVE EXPENSES
PRINTING & DUPLICATION,Expense,9-70800,ADMINISTRATIVE EXPENSES
PROFESSIONAL FEES,Expense,9-70805,ADMINISTRATIVE EXPENSES
PROMOTIONS,Expense,9-70810,ADMINISTRATIVE EXPENSES
REPAIR & MAINTENANCE - ADMIN,Expense,9-70860,ADMINISTRATIVE EXPENSES
SECURITY,Expense,9-70890,ADMINISTRATIVE EXPENSES
SEMINARS - ADMIN,Expense,9-70910,ADMINISTRATIVE EXPENSES
SERVICE & FINANCE CHARGES,Expense,9-70920,ADMINISTRATIVE EXPENSES
SUI,Expense,9-70970,ADMINISTRATIVE EXPENSES
TAXES,Expense,9-70980,ADMINISTRATIVE EXPENSES
TELEPHONE,Expense,9-71000,ADMINISTRATIVE EXPENSES
TRASH & WASTE REMOVAL - ADMIN,Expense,9-71050,ADMINISTRATIVE EXPENSES
TRAVEL,Expense,9-71060,ADMINISTRATIVE EXPENSES
UNIFORMS,Expense,9-71070,ADMINISTRATIVE EXPENSES
WATER / SEWER,Expense,9-71080,ADMINISTRATIVE EXPENSES
OWNER LEGAL,Expense,9-90000,ADMINISTRATIVE EXPENSES
OWNERS EXPENSE,Expense,9-90010,ADMINISTRATIVE EXPENSES
GAIN ON SALE OF FIXED ASSETS,Other Income,0-40800,OTHER INCOME
INTEREST INCOME,Other Income,0-40820,OTHER INCOME
MISCELLANEOUS INCOME,Other Income,0-40840,OTHER INCOME
OVER/(SHORT),Other Income,0-40860,OTHER INCOME
CLUBHOUSE ASSESSMENT,Other Income,0-40870,OTHER INCOME
GOLF ASSESSMENT,Other Income,0-40875,OTHER INCOME
LEGAL RETAINER ASSESSMENT,Other Income,0-40880,OTHER INCOME
RESIDENTIAL LOTS - REVENUE,Other Income,0-40900,OTHER INCOME
CART LEASE,Other Expense,0-75000,OTHER EXPENSE
INCOME TAX EXPENSE,Other Expense,0-75020,OTHER EXPENSE
INTEREST EXPENSE,Other Expense,0-75040,OTHER EXPENSE
INTEREST EXPENSE - AUTO,Other Expense,0-75060,OTHER EXPENSE
INTEREST EXPENSE - CAP LEASE,Other Expense,0-75080,OTHER EXPENSE
INTEREST EXPENSE - MEMBER LOANS,Other Expense,0-75090,OTHER EXPENSE
MANAGEMENT FEE - OPERATIONS,Other Expense,0-75110,OTHER EXPENSE
MANAGEMENT FEE INCENTIVE,Other Expense,0-75120,OTHER EXPENSE
AMORTIZATION EXPENSE,Other Expense,0-75500,OTHER EXPENSE
DEPRECIATION EXPENSE,Other Expense,0-75550,OTHER EXPENSE
REAL ESTATE - PROPERTY LEASE,Other Expense,0-75900,OTHER EXPENSE
RESIDENTIAL LOTS - COST OF SALE,Other Expense,0-75910,OTHER EXPENSE
